symbol,date,open,high,low,close,volume,open_interest
ESU08,09/19/2007,1682.0,1683.0,1682.0,1682.0,3232115,2664456
ESU08,09/18/2007,1674.0,1674.0,1674.0,1674.0,3274385,2852003
ESU08,09/17/2007,1631.5,1631.5,1631.5,1631.5,1751784,2624966
ESU08,09/14/2007,1639.75,1639.75,1639.75,1639.75,1958626,2558690
ESU08,09/13/2007,1639.5,1639.5,1639.5,1639.5,2013016,2457932
ESU08,09/12/2007,1631.0,1631.0,1631.0,1631.0,2001000,2355554
ESU08,09/11/2007,1627.75,1627.75,1627.75,1627.75,1949248,2264974
ESU08,09/10/2007,1609.25,1609.25,1609.25,1609.25,2194052,2289812
ESU08,09/07/2007,1613.75,1613.75,1613.75,1613.75,2530315,2255100
ESU08,09/06/2007,1634.75,1634.75,1634.75,1634.75,1560140,2152345
ESU08,09/05/2007,1632.0,1632.0,1632.0,1632.0,1974802,2115211
ESU08,09/04/2007,1645.5,1645.5,1645.5,1645.5,1643863,2086545
ESU08,08/31/2007,1631.75,1631.75,1631.75,1631.75,1736371,2107252
ESU08,08/30/2007,1615.5,1615.5,1615.5,1615.5,1906549,2164671
ESU08,08/29/2007,1618.5,1618.5,1618.5,1618.5,2034435,2154157
ESU08,08/28/2007,1590.75,1590.75,1590.75,1590.75,1986621,2115550
ESU08,08/27/2007,1623.75,1623.75,1623.75,1623.75,922834,2087345
ESU08,08/24/2007,1638.0,1638.0,1638.0,1638.0,1215681,2071197
ESU08,08/23/2007,1619.75,1619.75,1619.75,1619.75,1662948,2056868
ESU08,08/22/2007,1621.25,1621.25,1621.25,1621.25,1589368,2073805
ESU08,08/21/2007,1601.5,1601.5,1601.5,1601.5,1802239,2085691
ESU08,08/20/2007,1600.25,1600.25,1600.25,1600.25,1757851,2141390
ESU08,08/17/2007,1601.25,1601.25,1601.25,1601.25,3329110,2117952
ESU08,08/16/2007,1575.75,1575.75,1575.75,1575.75,4833384,2231480
ESU08,08/15/2007,1568.5,1568.5,1568.5,1568.5,2980028,2137431
ESU08,08/14/2007,1589.25,1589.25,1589.25,1589.25,2624633,2122079
ESU08,08/13/2007,1611.0,1611.0,1611.0,1611.0,1808266,2080198
ESU08,08/10/2007,1607.0,1607.0,1607.0,1607.0,3639844,2113839
ESU08,08/09/2007,1614.0,1614.0,1614.0,1614.0,3215245,2097576
ESU08,08/08/2007,1623.0,1660.75,1623.0,1660.75,2718473,2113699
ESU08,08/07/2007,1639.75,1639.75,1623.0,1639.75,2614488,2112090
ESU08,08/06/2007,1623.5,1623.5,1623.5,1623.5,2868445,2079001
ESU08,08/03/2007,1597.75,1597.75,1597.75,1597.75,2675039,2066738
ESU08,08/02/2007,1638.0,1638.0,1638.0,1638.0,2211130,2051275
ESU08,08/01/2007,1626.0,1626.0,1626.0,1626.0,3416340,2046567
ESU08,07/31/2007,1618.0,1618.0,1618.0,1618.0,2592449,1981283
ESU08,07/30/2007,1637.5,1637.5,1637.5,1637.5,2216738,1907409
ESU08,07/27/2007,1614.0,1614.0,1614.0,1614.0,3046901,1929045
ESU08,07/26/2007,1646.5,1646.5,1646.5,1646.5,3653900,1860482
ESU08,07/25/2007,1686.0,1686.0,1686.0,1686.0,2389214,1783819
ESU08,07/24/2007,1684.0,1684.0,1684.0,1684.0,2106628,1787385
ESU08,07/23/2007,1711.25,1711.25,1711.25,1711.25,1148765,1747283
ESU08,07/20/2007,1707.5,1707.5,1707.5,1707.5,2193394,1744880
ESU08,07/19/2007,1722.5,1722.5,1722.5,1722.5,1338711,1712856
ESU08,07/18/2007,1717.5,1717.5,1717.5,1717.5,2114815,1727101
ESU08,07/17/2007,1721.5,1721.5,1721.5,1721.5,1268079,1702161
ESU08,07/16/2007,1722.5,1722.5,1722.5,1722.5,1084141,1701865
ESU08,07/13/2007,1722.75,1722.75,1722.75,1722.75,1138188,1691141
ESU08,07/12/2007,1718.25,1718.25,1718.25,1718.25,1654659,1685612
ESU08,07/11/2007,1692.0,1692.0,1692.0,1692.0,1607314,1668094
ESU08,07/10/2007,1681.0,1681.0,1681.0,1681.0,1737383,1682790
ESU08,07/09/2007,1704.0,1704.0,1704.0,1704.0,799181,1637274
ESU08,07/06/2007,1703.25,1703.25,1703.25,1703.25,884045,1614407
ESU08,07/05/2007,1695.25,1695.25,1695.25,1695.25,862015,1629967
ESU08,07/03/2007,1697.0,1697.0,1697.0,1697.0,546806,1620034
ESU08,07/02/2007,1691.5,1691.5,1691.5,1691.5,913745,1635840
ESU08,06/29/2007,1675.75,1675.75,1675.75,1675.75,1774484,1646509
ESU08,06/28/2007,1678.75,1678.75,1678.75,1678.75,1379331,1618821
ESU08,06/27/2007,1680.5,1680.5,1680.5,1680.5,1789152,1609291
ESU08,06/26/2007,1659.25,1659.25,1659.25,1659.25,1923307,1643054
ESU08,06/25/2007,1675.0,1675.0,1675.0,1675.0,1906249,1634151
ESZ08,12/18/2008,1018.0,1022.75,986.25,1005.5,2088236,2298787
ESZ08,12/17/2008,1023.75,1029.25,997.5,1014.25,2931134,3922695
ESZ08,12/16/2008,983.5,1026.0,979.5,1023.5,3394355,3813985
ESZ08,12/15/2008,993.5,1004.0,967.25,983.25,3092294,3648649
ESZ08,12/12/2008,983.0,997.25,939.0,996.0,4097708,3518214
ESZ08,12/11/2008,1008.25,1015.0,978.25,985.0,3754528,3481708
ESZ08,12/10/2008,1000.5,1018.75,994.5,1005.75,2955801,3218193
ESZ08,12/09/2008,1016.25,1026.25,994.5,999.5,2799463,3144744
ESZ08,12/08/2008,982.25,1029.25,977.5,1014.75,2739676,3146724
ESZ08,12/05/2008,957.5,989.5,927.0,982.5,3278125,3189435
ESZ08,12/04/2008,979.0,985.5,942.0,957.5,2883729,3199840
ESZ08,12/03/2008,958.5,983.75,936.0,978.5,3370833,3241657
ESZ08,12/02/2008,926.0,960.75,923.0,959.0,3278584,3219905
ESZ08,12/01/2008,1007.5,1007.5,923.0,925.75,2647150,3251452
ESZ08,11/28/2008,987.25,1007.0,985.0,1005.25,890571,3244212
